0	0
0.00001	1.37E-015
1.00E+000	1.37E-015
1.15E+000	1.22E-015
1.33E+000	1.06E-015
1.53E+000	8.97E-016
1.76E+000	7.39E-016
2.02E+000	5.91E-016
2.33E+000	4.59E-016
2.68E+000	3.46E-016
3.09E+000	2.54E-016
3.56E+000	1.81E-016
4.09E+000	1.26E-016
4.71E+000	8.60E-017
5.43E+000	5.76E-017
6.25E+000	3.81E-017
7.20E+000	2.49E-017
8.29E+000	1.61E-017
9.54E+000	1.04E-017
1.10E+001	6.65E-018
1.26E+001	4.24E-018
1.46E+001	2.69E-018
1.68E+001	1.70E-018
1.93E+001	1.06E-018
2.22E+001	6.64E-019
2.56E+001	4.14E-019
2.95E+001	2.59E-019
3.39E+001	1.64E-019
3.91E+001	1.07E-019
4.50E+001	0.00E+000
5.18E+001	0.00E+000
5.96E+001	0.00E+000
6.87E+001	0.00E+000
7.91E+001	0.00E+000
9.10E+001	0.00E+000
1.05E+002	0.00E+000
1.21E+002	0.00E+000
1.39E+002	0.00E+000
1.60E+002	0.00E+000
1.84E+002	0.00E+000
2.12E+002	0.00E+000
2.44E+002	0.00E+000
2.81E+002	0.00E+000
3.24E+002	0.00E+000
3.73E+002	0.00E+000
4.29E+002	0.00E+000
4.94E+002	0.00E+000
5.69E+002	0.00E+000
6.55E+002	0.00E+000
7.54E+002	0.00E+000
8.69E+002	0.00E+000
1.00E+003	0.00E+000
